canonical_perturbation,target_a,target_b,observed_rms,residual_rms,residual_over_response_rms,projection_coefficient,squared_norm_fraction,cosine_to_neg_shared_shift,orthogonal_residual_rms,role
BAK1+KLF1,BAK1,KLF1,0.055526229242560836,0.01416878132402218,0.25517276280597523,0.06372204366689908,0.014468807147819198,-0.12028635478648109,0.014065905162063042,descriptive_alignment_not_confounding_proof
DUSP9+KLF1,DUSP9,KLF1,0.10183802524993575,0.032899781213136775,0.3230598897847102,0.13955854563242712,0.012871974823883615,-0.11345472587725737,0.032687352828115974,descriptive_alignment_not_confounding_proof
IER5L+LYL1,IER5L,LYL1,0.07437149328853274,0.02991981806654193,0.40230223629455125,0.11642147317553063,0.010830951613886438,-0.10407185793424868,0.029757346888579228,descriptive_alignment_not_confounding_proof
FOSB+OSR2,FOSB,OSR2,0.09682737856483004,0.03160680763470638,0.32642428312302474,0.11975380593813159,0.010269178776557848,-0.10133695661779986,0.03144410086144955,descriptive_alignment_not_confounding_proof
MAP2K3+SLC38A2,MAP2K3,SLC38A2,0.033224845991978204,0.0200382148373967,0.6031093369773548,0.07415326976378117,0.009796273152009594,-0.09897612415128,0.01993982336389209,descriptive_alignment_not_confounding_proof
BCL2L11+TGFBR2,BCL2L11,TGFBR2,0.028700636682977166,0.015283825361154496,0.532525655440236,0.04982452026753744,0.007602220287514174,-0.08719071216313225,0.015225619022135295,descriptive_alignment_not_confounding_proof
PTPN12+SAMD1,PTPN12,SAMD1,0.08554810036255098,0.026682444423939352,0.3118999055602607,-0.08586438059038712,0.007407867182586958,0.08606896759336059,0.026583430710771558,descriptive_alignment_not_confounding_proof
S1PR2+SGK1,S1PR2,SGK1,0.09022228466311791,0.039568647599298894,0.43856845065545336,-0.11898057806530432,0.006467971041966819,0.08042369701752598,0.039440475576429615,descriptive_alignment_not_confounding_proof
CEBPB+JUN,CEBPB,JUN,0.11750777404776648,0.05094024023967118,0.43350527786326853,-0.15120485795919977,0.006302717519438025,0.07938965624965273,0.05077945552175136,descriptive_alignment_not_confounding_proof
RHOXF2BB+ZBTB25,RHOXF2BB,ZBTB25,0.09234577676501426,0.030208192443041765,0.3271204542456815,-0.07874087277901008,0.004860369662695882,0.0697163514729212,0.030134691532800753,descriptive_alignment_not_confounding_proof
