split,model,canonical_perturbation,mse,mae,delta_pearson,cosine
train,train_condition_balanced_perturbed_mean,OSR2+PTPN12,0.0014227982397414245,0.011232713648893975,0.42379425155087813,0.42716673009885936
train,train_condition_balanced_perturbed_mean,PLK4+STIL,0.0023012062222003454,0.01806770021254073,0.7690338592561552,0.7700220340602816
train,train_condition_balanced_perturbed_mean,PRTG+TGFBR2,0.002529324104398466,0.01438050553297587,0.7167713150546086,0.7153900394785347
train,train_condition_balanced_perturbed_mean,PTPN12+SAMD1,0.003809469729129232,0.016486875584369034,0.78789243990603,0.7856698002551169
train,train_condition_balanced_perturbed_mean,PTPN12+SNAI1,0.0015011781151787864,0.012326007325314007,0.6233852164964935,0.6231256809261321
train,train_condition_balanced_perturbed_mean,PTPN12+ZBTB10,0.003214347486327564,0.018251949690722406,0.741760746826082,0.7422695906766734
train,train_condition_balanced_perturbed_mean,PTPN12+ZBTB25,0.004366576942929185,0.017819555809891845,0.6805029057530452,0.6762767738875283
train,train_condition_balanced_perturbed_mean,PTPN9+UBASH3B,0.0030169038465611194,0.015893882927237916,0.7586583010542027,0.7539682815816666
train,train_condition_balanced_perturbed_mean,RHOXF2BB+SET,0.005614302269834696,0.023574760873748914,0.6185097094074018,0.6200859610566289
train,train_condition_balanced_perturbed_mean,RHOXF2BB+ZBTB25,0.004401887561726677,0.018823545949541973,0.8235802373486856,0.8223159328156044
train,train_condition_balanced_perturbed_mean,S1PR2+SGK1,0.0045243224470367955,0.01904526401032453,0.7616851683068124,0.7625728685961092
train,train_condition_balanced_perturbed_mean,SAMD1+TGFBR2,0.0023130400286331594,0.016488552173430288,0.7879057133927372,0.7876269184275294
train,train_condition_balanced_perturbed_mean,SAMD1+ZBTB1,0.004292964691589271,0.018750809073036893,0.8416520346727483,0.8420010812719126
train,train_condition_balanced_perturbed_mean,SGK1+TBX2,0.00370058334454125,0.016284926367537342,0.7028751861485223,0.7016176033636907
train,train_condition_balanced_perturbed_mean,UBASH3A+UBASH3B,0.0009657591856033189,0.009906602914679334,0.751294468299566,0.7466203619375463
train,train_condition_balanced_perturbed_mean,UBASH3B+ZBTB25,0.0032066833685123843,0.015859757569549725,0.7217098077243553,0.7169040044099595
train,matching_single_mean,AHR,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,ARID1A,0.0,0.0,0.9999999999999998,0.9999999999999999
train,matching_single_mean,ARRDC3,0.0,0.0,1.0,1.0
train,matching_single_mean,ATL1,0.0,0.0,0.9999999999999998,0.9999999999999999
train,matching_single_mean,BAK1,0.0,0.0,1.0,1.0
train,matching_single_mean,BCL2L11,0.0,0.0,1.0,1.0
train,matching_single_mean,BCORL1,0.0,0.0,1.0,0.9999999999999999
train,matching_single_mean,BPGM,0.0,0.0,1.0,1.0
train,matching_single_mean,C19orf26,0.0,0.0,1.0,1.0
train,matching_single_mean,C3orf72,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,CBFA2T3,0.0,0.0,1.0,1.0
train,matching_single_mean,CBL,0.0,0.0,1.0,0.9999999999999998
train,matching_single_mean,CDKN1A,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,CDKN1B,0.0,0.0,1.0,0.9999999999999998
train,matching_single_mean,CDKN1C,0.0,0.0,0.9999999999999999,1.0
train,matching_single_mean,CEBPA,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,CEBPB,0.0,0.0,1.0,1.0
train,matching_single_mean,CEBPE,0.0,0.0,0.9999999999999999,1.0
train,matching_single_mean,CELF2,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,CITED1,0.0,0.0,1.0,1.0
train,matching_single_mean,CKS1B,0.0,0.0,0.9999999999999999,1.0
train,matching_single_mean,CLDN6,0.0,0.0,0.9999999999999998,1.0
